IE_XML_ID,IE_NAME,IE_ID,IE_ACTIVE,IE_ACTIVE_FROM,IE_ACTIVE_TO,IE_PREVIEW_PICTURE,IE_PREVIEW_TEXT,IE_PREVIEW_TEXT_TYPE,IE_DETAIL_PICTURE,IE_DETAIL_TEXT,IE_DETAIL_TEXT_TYPE,IE_CODE,IE_SORT,IE_TAGS,IP_PROP1083,IP_PROP1268,IP_PROP1084,IP_PROP1269,IP_PROP1270,IP_PROP1267,IP_PROP1085,IC_GROUP0,IC_GROUP1,IC_GROUP2
327883,Бланки,327883,Y,,,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,,500,,,4+4 (двусторонняя),,офсет 80,1000,Евро (210x99 мм),Бланки [320132],,,
327884,Бланки,327884,Y,,,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,,500,,,4+4 (двусторонняя),,офсет 80,2000,A4 (210x297 мм),Бланки [320132],,,
327885,Бланки,327885,Y,,,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,,500,,,4+4 (двусторонняя),,офсет 80,2000,A5 (210x148 мм),Бланки [320132],,,
327886,Бланки,327886,Y,,,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,,500,,,4+4 (двусторонняя),,офсет 80,2000,A6 (105x148 мм),Бланки [320132],,,
327887,Бланки,327887,Y,,,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,,500,,,4+4 (двусторонняя),,офсет 80,2000,Евро (210x99 мм),Бланки [320132],,,
327888,Бланки,327888,Y,,,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,,500,,,4+4 (двусторонняя),,офсет 80,3000,A4 (210x297 мм),Бланки [320132],,,
327889,Бланки,327889,Y,,,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,,500,,,4+4 (двусторонняя),,офсет 80,3000,A5 (210x148 мм),Бланки [320132],,,
327890,Бланки,327890,Y,,,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,,500,,,4+4 (двусторонняя),,офсет 80,3000,A6 (105x148 мм),Бланки [320132],,,
327891,Бланки,327891,Y,,,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,,500,,,4+4 (двусторонняя),,офсет 80,3000,Евро (210x99 мм),Бланки [320132],,,
327892,Бланки,327892,Y,,,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,,500,,,4+4 (двусторонняя),,офсет 80,4000,A4 (210x297 мм),Бланки [320132],,,
327893,Бланки,327893,Y,,,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,,500,,,4+4 (двусторонняя),,офсет 80,4000,A5 (210x148 мм),Бланки [320132],,,
327894,Бланки,327894,Y,,,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,,500,,,4+4 (двусторонняя),,офсет 80,4000,A6 (105x148 мм),Бланки [320132],,,
327895,Бланки,327895,Y,,,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,,500,,,4+4 (двусторонняя),,офсет 80,4000,Евро (210x99 мм),Бланки [320132],,,
327896,Бланки,327896,Y,,,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,,500,,,4+4 (двусторонняя),,офсет 80,5000,A4 (210x297 мм),Бланки [320132],,,
327897,Бланки,327897,Y,,,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,,500,,,4+4 (двусторонняя),,офсет 80,5000,A5 (210x148 мм),Бланки [320132],,,
327898,Бланки,327898,Y,,,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,,500,,,4+4 (двусторонняя),,офсет 80,5000,A6 (105x148 мм),Бланки [320132],,,
327899,Бланки,327899,Y,,,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,,500,,,4+4 (двусторонняя),,офсет 80,5000,Евро (210x99 мм),Бланки [320132],,,
327900,Бланки,327900,Y,,,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,,500,,,4+4 (двусторонняя),,офсет 80,10000,A4 (210x297 мм),Бланки [320132],,,
